tier,division,summonerName
GOLD,III,Donut Drifts
GOLD,III,Cherevon
GOLD,III,Purtzelkater
GOLD,III,Oposonix
GOLD,III,IMBANNED92
GOLD,III,RoterBaron69
GOLD,III,Tityr
GOLD,III,Rudrix06
GOLD,III,Zéldorice
GOLD,III,Ąkshąń
GOLD,III,MeatFish0010
GOLD,III,FaNtalFBIl
GOLD,III,blób
GOLD,III,BHL
GOLD,III,Mr Gundoo
GOLD,III,Oxsaves
GOLD,III,Dungalungero69
GOLD,III,darkingrayleigh1
GOLD,III,vHasky
GOLD,III,Deniiz57
GOLD,III,marshmello cz
GOLD,III,RitoRuinedAkali
GOLD,III,TCT Fluffycloud
GOLD,III,TheH0nored0ne
GOLD,III,pach0n
GOLD,III,razer83
GOLD,III,Gonkas
GOLD,III,ElTitix
GOLD,III,XEDGE OF DEATHx
GOLD,III,MADHOOLIC
GOLD,III,Pamortadelo
GOLD,III,FLutsch und Weg
GOLD,III,TeemØTP
GOLD,III,gNfb5hLRWu
GOLD,III,MeetJustJack
GOLD,III,toto31KILL
GOLD,III,its me speed
GOLD,III,MuriiiK
GOLD,III,corennugh4
GOLD,III,CDI Oppa
GOLD,III,HaGetRektNoobHa
GOLD,III,Iqbalflieht
GOLD,III,Baby Førtune
GOLD,III,Givemeaoooohyeah
GOLD,III,Meki34
GOLD,III,Moon CiroC
GOLD,III,T8XIK
GOLD,III,El Ratón Vacilon
GOLD,III,Funtom
GOLD,III,Narú
GOLD,III,DenSejeGut
GOLD,III,Tàchyon
GOLD,III,QuantX
GOLD,III,FNC DEMON IKKI
GOLD,III,BichotasoMuñaño
GOLD,III,OnionSlayer3000
GOLD,III,menτally ill
GOLD,III,Kaezix
GOLD,III,VoixDeLaSagesse
GOLD,III,infinititty boi
GOLD,III,ThrowAwayGarbage
GOLD,III,idontknownoflame
GOLD,III,Prajdj
GOLD,III,Lord CP
GOLD,III,Garcii80
GOLD,III,salocill
GOLD,III,LoneIy
GOLD,III,YuukiB
GOLD,III,Qubbe
GOLD,III,KernelPanico
GOLD,III,TamPoPaDa
GOLD,III,OT Akira
GOLD,III,DaniDiesel27
GOLD,III,Not baad dude
GOLD,III,KingSilas
GOLD,III,XxvatatracksxX
GOLD,III,Botsan6789
GOLD,III,Dreamlockzs
GOLD,III,NielsKlinkie
GOLD,III,oOTsuna
GOLD,III,Call Me Ty
GOLD,III,Kinoem
GOLD,III,GodzillaVsGoku
GOLD,III,Narugro Uzumaki
GOLD,III,Übeltäterin
GOLD,III,Därcky
GOLD,III,M J I N
GOLD,III,TSM Saso
GOLD,III,Dònt B Negative
GOLD,III,je69ferrand
GOLD,III,HanfiMC
GOLD,III,Zoloto
GOLD,III,Bągley
GOLD,III,LilzLolz
GOLD,III,LaraKxIII
GOLD,IV,Magnıfıcant
GOLD,IV,Koomaeläin
GOLD,IV,Xest
GOLD,IV,Phantom Ward
GOLD,IV,zauzy
GOLD,IV,CHN QYnb666
GOLD,IV,VaChoRen
GOLD,IV,Skilled Dürum
GOLD,IV,L4S3RTURK3N
GOLD,IV,KingMontegro
GOLD,IV,Gorgon03
GOLD,IV,frosArrows
GOLD,IV,TeckNac
GOLD,IV,Darr Tah Anakin
GOLD,IV,Konnii
GOLD,IV,Chacon
GOLD,IV,EH TOURO LINDO
GOLD,IV,BO Maryem
GOLD,IV,EnglishMalteser
GOLD,IV,cndyksh
GOLD,IV,Ragnok3
GOLD,IV,GrooGynx Le Lynx
GOLD,IV,AjandroMLG
GOLD,IV,lnvisibIe
GOLD,IV,FLAGGED 10510448
GOLD,IV,jobbet
GOLD,IV,loweloismyhood
GOLD,IV,MCP Ascent
GOLD,IV,ISR Sonix
GOLD,IV,Kom i mig skat
GOLD,IV,DeliciousKepsnys
GOLD,IV,KKvM
GOLD,IV,Durexxx
GOLD,IV,BRETONGAMER56
GOLD,IV,RKO619
GOLD,IV,Beefan42069
GOLD,IV,FriendlyJoe007
GOLD,IV,Saiba Joichiro
GOLD,IV,KakaoPrincess
GOLD,IV,Aetos4
GOLD,IV,Guuutiii
GOLD,IV,Toji14
GOLD,IV,PansyPanda
GOLD,IV,AnaCorp94
GOLD,IV,Khada Jhin 444
GOLD,IV,zExplosiveZexor
GOLD,IV,GoldenSlams
GOLD,IV,ddaavid
GOLD,IV,Ez Bezi
GOLD,IV,Da69RK
GOLD,IV,sami1999co
GOLD,IV,JustVon3Seiten
GOLD,IV,Paitbev
GOLD,IV,Headzy
GOLD,IV,Lana Del Hey
GOLD,IV,C0ntrolink
GOLD,IV,Tulype 1312
